filename,sha256,num_sections,has_rsrc_section,max_entropy,avg_entropy,total_imports,suspicious_api_count,timestamp,is_dll,image_size,is_64bit
avast.exe,6f486a9d30bc410250a27bd1b1a5b95518c70bf29be93e5f36888f170024cb12,6,1,6.67300732033881,4.746518393585625,185,11,1726818470,0,258048,0
Windows_Credentials_Viewer.exe,501a946121cf6dc612f9ba078067392ef8c4f2f78adf79e8ebcccf01bf6b9d07,5,1,7.007301806165406,5.728302666982326,674,16,1496170115,0,4804608,0
RiotClientCrashHandler.exe,d224446bc4aed018940fe1a13e5bab2e6b98769199a612e07493bd091b394315,6,0,6.32838510688035,4.244156915158633,191,9,2396255610,0,917504,1
RiotClientFoundation.dll,8cf741ffcd8b2492219be0e00cc8db23e11b669615b48c75f4c250ab2dd98d67,7,1,6.636638076380549,4.95819394014025,440,17,380415491,1,16805888,1
RiotClientServices.exe,76282276fcaad1118c3eff19d5802747e035fe57bcd03e55974060c648ef3aeb,7,1,7.997689565492429,5.343995815305611,380,12,3586101223,0,74416128,1
RiotGamesApi.dll,ec2433e58fd560d87f167ded6a4333147f4267006d656cfed5ba417fa4e46f72,8,1,6.8204810887797835,4.457553228690832,385,16,271584988,1,32817152,1
vgrl.dll,6b848c224d20a9f645b354cffa8ae97083baf3df681550ab233c4c2c1f1467cb,8,1,7.746017725834842,1.6385182738838504,15,2,1584381510,1,4939776,1
vivoxsdk.dll,e39d99ec653954ba115eab92c74beaf2339e314883f5c255fd6247de17ccab9e,7,1,7.126697868065651,5.194909775873184,251,12,1724351624,1,13000704,1
Battle.net.exe,a31d9091bee3a6898f1579e9b6cd6a8c53cfc4edfdecca5e6f7324966632bd1a,5,1,6.656059425947971,5.38229640006445,184,10,1753827263,0,1007616,0
Battle.net Launcher.exe,088511f49fd6a67af6a536982f7d6da802edb281a39e0baeac11560dbbbf7472,5,1,6.607124154063022,4.736400046197841,68,5,1753826612,0,221184,0
